,Commodity Group,Commodity,Op.,IMO,Vessel,Port,Arrived at Port,Sailed from Port,Berth,Tons,Coord.,Destination / Origin,Time at Port,Time at Berth,Shipper
3,Chemical products,Sulfuric Acid,discharge,9279111,MTM TOKYO,San Lorenzo - Argentina,2017-01-21 19:00:00,2017-01-23 13:20:00,T.F.A.,1171.242,ACA,Spain,1.76,1.77,
4,Chemical products,Sulfuric Acid,discharge,9279111,MTM TOKYO,San Lorenzo - Argentina,2017-01-21 19:00:00,2017-01-23 13:20:00,T.F.A.,6259.727,Bunge,Spain,1.76,1.77,
5,Chemical products,Nash,load,9724099,BIRDIE TRADER,San Lorenzo - Argentina,2017-01-22 08:54:00,2017-02-02 16:50:00,Nouryon Chemicals Argentina,2241.832,Akzo Nobel,Chile,11.33,1.74,Akzo Nobel
9,Chemical products,Styrene,discharge,9523835,RT STAR,San Lorenzo - Argentina,2017-02-22 00:00:00,2017-02-23 21:15:00,Pampa Energia,2883.812,Pampa Energía SA,Netherlands,1.89,1.59,
10,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-02-24 00:00:00,2017-02-26 23:15:00,Pampa Energia,2502.173,Dow Chemicals,Brazil,2.97,0.89,
11,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-02-24 00:00:00,2017-02-26 23:15:00,Nouryon Chemicals Argentina,2084.753,Akzo Nobel,Brazil,2.97,0.72,
12,Chemical products,Nash,load,9477531,SHAMROCK MERCURY,San Lorenzo - Argentina,2017-03-11 01:40:00,2017-03-15 00:00:00,Nouryon Chemicals Argentina,2000.018,Akzo Nobel,Chile,3.93,0.82,Akzo Nobel
13,Chemical products,Styrene,load,9737101,BRISTOL TRADER,San Lorenzo - Argentina,2017-03-21 00:00:00,2017-03-23 15:15:00,Pampa Energia,3302.39,Tycoon Energy Inc.,Netherlands,2.64,1.86,Pampa Energía SA
14,Chemical products,Sulfuric Acid,discharge,9185853,RAINBOW ISLAND 77,San Lorenzo - Argentina,2017-03-21 00:00:00,2017-03-23 22:35:00,T.F.A.,5591.542,Bunge,Spain,2.94,1.89,
15,Chemical products,Sulfuric Acid,discharge,9185853,RAINBOW ISLAND 77,San Lorenzo - Argentina,2017-03-21 00:00:00,2017-03-23 22:35:00,T.F.A.,3591.9,ACA,Spain,2.94,1.89,
16,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-03-23 00:00:00,2017-03-25 23:30:00,Pampa Energia,1889.802,Dow Chemicals,Brazil,2.98,1.99,
17,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-03-23 00:00:00,2017-03-27 12:30:00,Nouryon Chemicals Argentina,2038.459,Akzo Nobel,Brazil,4.52,0.69,
18,Chemical products,Nash,load,9416082,SHAMROCK JUPITER,San Lorenzo - Argentina,2017-04-12 21:35:00,2017-04-15 13:40:00,Nouryon Chemicals Argentina,1776.013,Ultragas,Chile,2.67,1.0,Akzo Nobel
19,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-04-20 00:00:00,2017-04-23 00:00:00,Pampa Energia,2475.008,Dow Chemicals,Brazil,3.0,-0.57,
20,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-04-20 00:00:00,2017-04-23 00:00:00,Nouryon Chemicals Argentina,2073.892,Akzo Nobel,Brazil,3.0,0.8,
21,Chemical products,Methanol,discharge,9499486,BUNGA LOTUS,San Lorenzo - Argentina,2017-05-06 18:54:00,2017-05-07 16:25:00,Terminal 6-North,4400.0,Evonik,Chile,0.9,0.75,
22,Chemical products,Sulfuric Acid,discharge,9279111,MTM TOKYO,San Lorenzo - Argentina,2017-05-08 19:00:00,2017-05-10 08:06:00,T.F.A.,5225.0,Bunge,Spain,1.55,1.55,
23,Chemical products,Sulfuric Acid,discharge,9279111,MTM TOKYO,San Lorenzo - Argentina,2017-05-08 19:00:00,2017-05-10 08:06:00,T.F.A.,1398.95,ACA,Spain,1.55,1.55,
26,Chemical products,Nash,load,9499486,BUNGA LOTUS,San Lorenzo - Argentina,2017-05-29 00:30:00,2017-06-05 19:30:00,Nouryon Chemicals Argentina,2240.371,Akzo Nobel,Chile,7.79,1.62,Akzo Nobel
27,Chemical products,Methanol,discharge,9477531,SHAMROCK MERCURY,San Lorenzo - Argentina,2017-06-24 17:50:00,2017-06-25 21:50:00,Terminal 6-North,4000.0,Evonik,Chile,1.17,0.75,
28,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-06-27 00:00:00,2017-06-28 19:40:00,Pampa Energia,2201.336,Dow Chemicals,Brazil,1.82,0.88,
29,Chemical products,Sulfuric Acid,discharge,9416032,MTM SOUTHPORT,San Lorenzo - Argentina,2017-07-04 00:00:00,2017-07-05 13:35:00,T.F.A.,3222.036,Bunge,Spain,1.57,1.07,
30,Chemical products,Sulfuric Acid,discharge,9416032,MTM SOUTHPORT,San Lorenzo - Argentina,2017-07-04 00:00:00,2017-07-05 13:35:00,T.F.A.,1074.011,ACA,Spain,1.57,1.07,
31,Chemical products,Nash,load,9408803,CELSIUS MALAGA,San Lorenzo - Argentina,2017-07-14 09:06:00,2017-07-16 10:50:00,Nouryon Chemicals Argentina,1935.588,Akzo Nobel,Chile,2.07,2.03,Akzo Nobel
32,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-07-23 00:00:00,2017-07-25 08:50:00,Pampa Energia,1803.686,Dow Chemicals,Brazil,2.37,0.7,
33,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-07-23 00:00:00,2017-07-25 08:50:00,Nouryon Chemicals Argentina,1400.0,Akzo Nobel,Brazil,2.37,0.72,
34,Chemical products,Methanol,discharge,9724063,ALBATROSS TRADER,San Lorenzo - Argentina,2017-08-06 21:03:00,2017-08-08 16:45:00,Terminal 6-North,4400.0,Evonik,Chile,1.82,0.9,
35,Chemical products,Sulfuric Acid,discharge,9712606,MTM SANTOS,San Lorenzo - Argentina,2017-08-14 16:12:00,2017-08-18 03:30:00,T.F.A.,16501.622,Bunge,Sweden,3.47,3.38,
36,Chemical products,Sulfuric Acid,discharge,9712606,MTM SANTOS,San Lorenzo - Argentina,2017-08-14 16:12:00,2017-08-18 03:30:00,T.F.A.,4500.0,ACA,Sweden,3.47,3.38,
37,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-08-21 00:00:00,2017-08-24 15:20:16,Nouryon Chemicals Argentina,1434.739,Akzo Nobel,Brazil,3.64,0.68,
38,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-08-21 00:00:00,2017-08-24 15:20:16,Pampa Energia,4010.802,Dow Chemicals,Brazil,3.64,2.64,
39,Chemical products,Nash,load,9724063,ALBATROSS TRADER,San Lorenzo - Argentina,2017-08-28 13:50:00,2017-08-31 22:55:00,Nouryon Chemicals Argentina,2096.139,Akzo Nobel,Chile,3.38,1.94,Akzo Nobel
40,Chemical products,Nash,load,9408803,CELSIUS MALAGA,San Lorenzo - Argentina,2017-09-12 05:45:00,2017-09-16 10:55:00,Nouryon Chemicals Argentina,1429.364,Akzo Nobel,Chile,4.22,0.97,Akzo Nobel
41,Chemical products,Methanol,discharge,9742053,HALCON TRADER,San Lorenzo - Argentina,2017-09-16 05:00:00,2017-09-20 09:20:00,Terminal 6-North,4400.0,Evonik,Chile,4.18,1.72,
42,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-09-20 00:00:00,2017-09-24 19:00:00,Nouryon Chemicals Argentina,1518.358,Akzo Nobel,Brazil,4.79,0.81,
43,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-09-20 00:00:00,2017-09-24 19:00:00,Pampa Energia,2407.909,Dow Chemicals,Brazil,4.79,2.39,
44,Chemical products,Sulfuric Acid,discharge,9712591,MTM PENANG,San Lorenzo - Argentina,2017-10-16 21:08:00,2017-10-19 02:00:00,T.F.A.,8449.696,Bunge,Spain,2.2,2.03,
45,Chemical products,Sulfuric Acid,discharge,9712591,MTM PENANG,San Lorenzo - Argentina,2017-10-16 21:08:00,2017-10-19 02:00:00,T.F.A.,1949.999,ACA,Spain,2.2,2.03,
