,Posición,Jugador,Equipo,Partidos,Asistencias
0,1,Ollie Watkins,Aston Villa,37,14
1,2,Pascal Groß,Brighton & Hove Albion,36,11
2,,Martin Ødegaard,Arsenal,35,11
3,,Cole Palmer,Chelsea,34,11
4,,Pedro Neto,Wolverhampton Wanderers,20,11
5,6,Morgan Gibbs-White,Nottingham Forest,37,10
6,,Son Heung-Min,Tottenham Hotspur,35,10
7,,Anthony Gordon,Newcastle United,35,10
8,,Brennan Johnson,Tottenham Hotspur,35,10
9,,Mohamed Salah,Liverpool,32,10
10,,Kieran Trippier,Newcastle United,28,10
11,,Kevin De Bruyne,Manchester City,18,10
12,13,Alfie Doughty,Luton Town,37,9
13,,Julián Álvarez,Manchester City,36,9
14,,Anthony Elanga,Nottingham Forest,36,9
15,,Leon Bailey,Aston Villa,35,9
16,,Rodri,Manchester City,34,9
17,,Bernardo Silva,Manchester City,33,9
18,,James Maddison,Tottenham Hotspur,28,9
19,20,Declan Rice,Arsenal,38,8
20,,Moussa Diaby,Aston Villa,38,8
21,,Bruno Guimarães,Newcastle United,37,8
22,,Darwin Núñez,Liverpool,36,8
23,,Bruno Fernandes,Manchester United,35,8
24,,Bukayo Saka,Arsenal,35,8
25,,Phil Foden,Manchester City,35,8
26,,Jordan Ayew,Crystal Palace,35,8
27,,Jérémy Doku,Manchester City,29,8
28,29,James Ward-Prowse,West Ham United,37,7
29,,Kai Havertz,Arsenal,37,7
30,,Andreas Pereira,Fulham,37,7
31,,Vladimír Coufal,West Ham United,36,7
32,,Pedro Porro,Tottenham Hotspur,35,7
33,,Matheus Cunha,Wolverhampton Wanderers,32,7
34,,Pablo Sarabia,Wolverhampton Wanderers,30,7
35,,Bryan Mbeumo,Brentford,25,7
36,,Jacob Murphy,Newcastle United,21,7
37,38,Antonee Robinson,Fulham,37,6
38,,Conor Gallagher,Chelsea,37,6
39,,Gustavo Hamer,Sheffield United,36,6
40,,Dwight McNeil,Everton,35,6
41,,Harry Wilson,Fulham,35,6
42,,Jarrod Bowen,West Ham United,34,6
43,,Harvey Elliott,Liverpool,34,6
44,,Mohammed Kudus,West Ham United,33,6
45,,Youri Tielemans,Aston Villa,32,6
46,,Lucas Paquetá,West Ham United,31,6
47,,Malo Gusto,Chelsea,27,6
48,,Michael Olise,Crystal Palace,19,6
49,50,Ryan Christie,AFC Bournemouth,37,5
