,Posicion,Jugador,Equipo,Partidos,Goles
0,1,Son Heung-Min,Tottenham Hotspur,35,23
1,,Mohamed Salah,Liverpool,35,23
2,3,Cristiano Ronaldo,Manchester United,30,18
3,4,Harry Kane,Tottenham Hotspur,37,17
4,5,Sadio Mané,Liverpool,34,16
5,6,Diogo Jota,Liverpool,35,15
6,,Kevin De Bruyne,Manchester City,30,15
7,,Jamie Vardy,Leicester City,25,15
8,9,Wilfried Zaha,Crystal Palace,33,14
9,10,Raheem Sterling,Manchester City,30,13
10,11,Jarrod Bowen,West Ham United,36,12
11,,James Maddison,Leicester City,35,12
12,,Ivan Toney,Brentford,33,12
13,14,Bukayo Saka,Arsenal,38,11
14,,Teemu Pukki,Norwich City,37,11
15,,Ollie Watkins,Aston Villa,35,11
16,,Raphinha,Leeds United,35,11
17,,Mason Mount,Chelsea,32,11
18,,Riyad Mahrez,Manchester City,28,11
19,20,James Ward-Prowse,Southampton,36,10
20,,Bruno Fernandes,Manchester United,36,10
21,,Michail Antonio,West Ham United,36,10
22,,Emmanuel Dennis,Watford,33,10
23,,Emile Smith Rowe,Arsenal,33,10
24,,Richarlison,Everton,30,10
25,26,Phil Foden,Manchester City,28,9
26,,Maxwel Cornet,Burnley,26,9
27,28,Bernardo Silva,Manchester City,35,8
28,,Jack Harrison,Leeds United,35,8
29,,Conor Gallagher,Crystal Palace,34,8
30,,Leandro Trossard,Brighton & Hove Albion,34,8
31,,Neal Maupay,Brighton & Hove Albion,32,8
32,,Saïd Benrahma,West Ham United,32,8
33,,Kai Havertz,Chelsea,29,8
34,,Gabriel Jesus,Manchester City,28,8
35,,Ilkay Gündogan,Manchester City,27,8
36,,Romelu Lukaku,Chelsea,26,8
37,,Callum Wilson,Newcastle United,18,8
38,39,Martin Ødegaard,Arsenal,36,7
39,,Rodri,Manchester City,33,7
40,,Ché Adams,Southampton,30,7
41,,Danny Ings,Aston Villa,30,7
42,,Yoane Wissa,Brentford,30,7
43,44,Pablo Fornals,West Ham United,36,6
44,,Raúl Jiménez,Wolverhampton Wanderers,34,6
45,,Jacob Ramsey,Aston Villa,34,6
46,,Youri Tielemans,Leicester City,32,6
47,,Harvey Barnes,Leicester City,32,6
48,,Armando Broja,Southampton,32,6
49,,Rodrigo,Leeds United,31,6
