,Rank,Club,PJ,G,E,P,GF,GC,DG,Pts,Ultimos5_1,Ultimos5_2,Ultimos5_3,Ultimos5_4,Ultimos5_5
0,1,Manchester City,38,28,7,3,96,34,62,91,Ganó,Ganó,Ganó,Ganó,Ganó
1,2,Arsenal,38,28,5,5,91,29,62,89,Ganó,Ganó,Ganó,Ganó,Ganó
2,3,Liverpool,38,24,10,4,86,41,45,82,Perdió,Empate,Ganó,Empate,Ganó
3,4,Aston Villa,38,20,8,10,76,61,15,68,Ganó,Empate,Perdió,Empate,Perdió
4,5,Tottenham,38,20,6,12,74,61,13,66,Perdió,Perdió,Ganó,Perdió,Ganó
5,6,Chelsea,38,18,9,11,77,63,14,63,Ganó,Ganó,Ganó,Ganó,Ganó
6,7,Newcastle,38,18,6,14,85,62,23,60,Ganó,Ganó,Empate,Perdió,Ganó
7,8,Manchester United,38,18,6,14,57,58,-1,60,Empate,Perdió,Perdió,Ganó,Ganó
8,9,West Ham,38,14,10,14,60,74,-14,52,Perdió,Empate,Perdió,Ganó,Perdió
9,10,Crystal Palace,38,13,10,15,57,58,-1,49,Ganó,Empate,Ganó,Ganó,Ganó
10,11,Brighton,38,12,12,14,55,62,-7,48,Perdió,Ganó,Empate,Perdió,Perdió
11,12,Bournemouth,38,13,9,16,54,67,-13,48,Ganó,Ganó,Perdió,Perdió,Perdió
12,13,Fulham,38,13,8,17,55,61,-6,47,Perdió,Empate,Empate,Perdió,Ganó
13,14,Wolves,38,13,7,18,50,65,-15,46,Perdió,Ganó,Perdió,Perdió,Perdió
14,15,Everton,38,13,9,16,40,51,-11,40,Ganó,Ganó,Empate,Ganó,Perdió
15,16,Brentford,38,10,9,19,56,65,-9,39,Ganó,Perdió,Empate,Ganó,Perdió
16,17,Nottingham Forest,38,9,9,20,49,67,-18,32,Perdió,Perdió,Ganó,Perdió,Ganó
17,18,Luton,38,6,8,24,52,85,-33,26,Perdió,Perdió,Empate,Perdió,Perdió
18,19,Burnley,38,5,9,24,41,78,-37,24,Ganó,Empate,Perdió,Perdió,Perdió
19,20,Sheffield United,38,3,7,28,35,104,-69,16,Perdió,Perdió,Perdió,Perdió,Perdió
