,Posición,Jugador,Equipo,Partidos,Asistencias
0,1,Kevin De Bruyne,Manchester City,37,16
1,2,Leroy Sané,Manchester City,32,15
2,3,Raheem Sterling,Manchester City,33,11
3,,David Silva,Manchester City,29,11
4,5,Christian Eriksen,Tottenham Hotspur,37,10
5,,Dele Alli,Tottenham Hotspur,36,10
6,,Riyad Mahrez,Leicester City,36,10
7,,Mohamed Salah,Liverpool,36,10
8,,Paul Pogba,Manchester United,27,10
9,10,Henrikh Mkhitaryan,Arsenal,26,9
10,11,Pascal Groß,Brighton & Hove Albion,38,8
11,,Jóhann Gudmundsson,Burnley,35,8
12,,Mesut Özil,Arsenal,26,8
13,,Aaron Ramsey,Arsenal,24,8
14,15,Granit Xhaka,Arsenal,38,7
15,,Roberto Firmino,Liverpool,37,7
16,,Andros Townsend,Crystal Palace,36,7
17,,Aaron Cresswell,West Ham United,36,7
18,,Xherdan Shaqiri,Stoke City,36,7
19,,Willian,Chelsea,36,7
20,,Alex Oxlade-Chamberlain,Liverpool,35,7
21,,Romelu Lukaku,Manchester United,34,7
22,,Marc Albrighton,Leicester City,34,7
23,,Sadio Mané,Liverpool,29,7
24,,Chris Brunt,West Bromwich Albion,26,7
25,26,César Azpilicueta,Chelsea,37,6
26,,Son Heung-Min,Tottenham Hotspur,37,6
27,,Joe Allen,Stoke City,36,6
28,,Kyle Walker,Manchester City,32,6
29,,Jordon Ibe,AFC Bournemouth,32,6
30,,Dominic Calvert-Lewin,Everton,32,6
31,,Alexis Sánchez,Manchester United,31,6
32,,Marko Arnautovic,West Ham United,31,6
33,,Álvaro Morata,Chelsea,31,6
34,,Ben Davies,Tottenham Hotspur,29,6
35,,Manuel Lanzini,West Ham United,27,6
36,,Sergio Agüero,Manchester City,25,6
37,,Philippe Coutinho,Liverpool,14,6
38,39,Ayoze Pérez,Newcastle United,36,5
39,,Matt Ritchie,Newcastle United,35,5
40,,Marcus Rashford,Manchester United,35,5
41,,Jesse Lingard,Manchester United,33,5
42,,Christian Benteke,Crystal Palace,31,5
43,,Eric Maxim Choupo-Moting,Stoke City,30,5
44,,Anthony Martial,Manchester United,30,5
45,,Juan Mata,Manchester United,28,5
46,,Alex Iwobi,Arsenal,26,5
47,,Andrew Surman,AFC Bournemouth,25,5
48,,Kieran Trippier,Tottenham Hotspur,24,5
49,,Andrew Robertson,Liverpool,22,5
