,Posicion,Jugador,Equipo,Partidos,Goles
0,1,Harry Kane,Tottenham Hotspur,38,25
1,2,Jamie Vardy,Leicester City,36,24
2,,Sergio Agüero,Manchester City,30,24
3,4,Romelu Lukaku,Everton,37,18
4,5,Riyad Mahrez,Leicester City,37,17
5,6,Olivier Giroud,Arsenal,38,16
6,7,Odion Ighalo,Watford,37,15
7,,Jermain Defoe,Sunderland,33,15
8,9,Troy Deeney,Watford,38,13
9,,Alexis Sánchez,Arsenal,30,13
10,11,André Ayew,Swansea City,34,12
11,,Diego Costa,Chelsea,28,12
12,13,Georginio Wijnaldum,Newcastle United,38,11
13,,Sadio Mané,Southampton,37,11
14,,Gylfi Sigurdsson,Swansea City,36,11
15,,Marko Arnautovic,Stoke City,34,11
16,,Anthony Martial,Manchester United,32,11
17,,Graziano Pellè,Southampton,30,11
18,19,Dele Alli,Tottenham Hotspur,33,10
19,,Roberto Firmino,Liverpool,31,10
20,,Shane Long,Southampton,28,10
21,22,Salomón Rondón,West Bromwich Albion,34,9
22,,Aleksandar Mitrovic,Newcastle United,34,9
23,,Dimitri Payet,West Ham United,30,9
24,,Christian Benteke,Liverpool,29,9
25,,Andy Carroll,West Ham United,27,9
26,27,Ross Barkley,Everton,38,8
27,,Wayne Rooney,Manchester United,28,8
28,,Michail Antonio,West Ham United,26,8
29,,Philippe Coutinho,Liverpool,26,8
30,,Kelechi Iheanacho,Manchester City,26,8
31,,Daniel Sturridge,Liverpool,14,8
32,33,Mark Noble,West Ham United,37,7
33,,Dusan Tadic,Southampton,34,7
34,,Jordan Ayew,Aston Villa,30,7
35,,Pedro,Chelsea,29,7
36,,Dieumerci Mbokani,Norwich City,29,7
37,,Bojan Krkic,Stoke City,27,7
38,,Kevin De Bruyne,Manchester City,25,7
39,40,Juan Mata,Manchester United,38,6
40,,Mesut Özil,Arsenal,35,6
41,,Christian Eriksen,Tottenham Hotspur,35,6
42,,Nathan Redmond,Norwich City,35,6
43,,Ayoze Pérez,Newcastle United,34,6
44,,Bafetimbi Gomis,Swansea City,33,6
45,,Yaya Touré,Manchester City,32,6
46,,Joshua King,AFC Bournemouth,32,6
47,,Raheem Sterling,Manchester City,31,6
48,,Leonardo Ulloa,Leicester City,29,6
49,,Manuel Lanzini,West Ham United,26,6
