,Rank,Club,PJ,G,E,P,GF,GC,DG,Pts,Ultimos5_1,Ultimos5_2,Ultimos5_3,Ultimos5_4,Ultimos5_5
0,1,Manchester City,38,32,4,2,106,27,79,100,Ganó,Ganó,Empate,Ganó,Ganó
1,2,Manchester United,38,25,6,7,68,28,40,81,Ganó,Ganó,Perdió,Empate,Ganó
2,3,Tottenham,38,23,8,7,74,36,38,77,Empate,Ganó,Perdió,Ganó,Ganó
3,4,Liverpool,38,21,12,5,84,38,46,75,Ganó,Empate,Empate,Perdió,Ganó
4,5,Chelsea,38,21,7,10,62,38,24,70,Ganó,Ganó,Ganó,Empate,Perdió
5,6,Arsenal,38,19,6,13,74,51,23,63,Ganó,Perdió,Ganó,Perdió,Ganó
6,7,Burnley,38,14,12,12,36,39,-3,54,Perdió,Empate,Empate,Perdió,Perdió
7,8,Everton,38,13,10,15,44,58,-14,49,Empate,Ganó,Ganó,Empate,Perdió
8,9,Leicester City,38,12,11,15,56,60,-4,47,Empate,Perdió,Perdió,Ganó,Perdió
9,10,Newcastle,38,12,8,18,39,47,-8,44,Perdió,Perdió,Perdió,Perdió,Ganó
10,11,Crystal Palace,38,11,11,16,45,55,-10,44,Ganó,Empate,Ganó,Ganó,Ganó
11,12,Bournemouth,38,11,11,16,45,61,-16,44,Perdió,Perdió,Perdió,Ganó,Ganó
12,13,West Ham,38,10,12,16,48,68,-20,42,Perdió,Perdió,Ganó,Empate,Ganó
13,14,Watford,38,11,8,19,44,64,-20,41,Perdió,Empate,Perdió,Ganó,Perdió
14,15,Brighton,38,9,13,16,34,54,-20,40,Empate,Empate,Ganó,Perdió,Perdió
15,16,Huddersfield Town,38,9,10,19,28,58,-30,37,Ganó,Perdió,Empate,Empate,Perdió
16,17,Southampton,38,7,15,16,37,56,-19,36,Empate,Ganó,Empate,Ganó,Perdió
17,18,Swansea,38,8,9,21,28,56,-28,33,Perdió,Perdió,Perdió,Perdió,Perdió
18,19,Stoke City,38,7,12,19,35,68,-33,33,Empate,Empate,Empate,Perdió,Ganó
19,20,Albion,38,6,13,19,31,56,-25,31,Ganó,Empate,Ganó,Ganó,Perdió
